id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,b Centauri AB b,320,10.9 Jupiters,4.01,2021
101,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
102,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
103,BD-06 1339 b,66,8.5 Earths,9.7,2013
104,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
105,BD-08 2823 b,135,12.7132 Earths,9.86,2009
106,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
107,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
108,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
109,BD-11 4672 c,89,15.37 Earths,10.03,2020
110,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
111,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
112,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
113,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
114,BD-17 63 b,112,5.1 Jupiters,9.62,2008
115,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
116,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
117,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
118,BD+20 594 b,585,22.2481 Earths,10.849,2016
119,BD+45 564 b,175,1.36 Jupiters,9.67,2021
120,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
121,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
122,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
123,BD+55 362 b,171,0.72 Jupiters,9.38,2021
124,BD+60 1417 b,147,15 Jupiters,9.374,2021
125,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
126,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
127,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
128,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
129,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
130,CD Ceti b,28,3.95 Earths,13.95,2020
131,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
132,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
133,CHXR 73 b,621,12.569 Jupiters,,2006
134,CI Tauri b,515,11.6 Jupiters,13.642,2019
135,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
136,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
137,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
138,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
139,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
140,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
141,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
142,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
143,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
144,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
145,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
146,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
147,CoRoT-20 c,2753,17 Jupiters,14.63,2018
148,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
149,CoRoT-22 b,2046,12.2 Earths,13.82,2014
150,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
151,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
152,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
153,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
154,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
155,CD Ceti b,28,3.95 Earths,13.95,2020
156,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
157,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
158,CHXR 73 b,621,12.569 Jupiters,,2006
159,CI Tauri b,515,11.6 Jupiters,13.642,2019
160,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
161,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
162,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
163,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
164,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
165,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
166,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
167,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
168,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
169,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
170,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
171,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
172,CoRoT-20 c,2753,17 Jupiters,14.63,2018
173,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
174,CoRoT-22 b,2046,12.2 Earths,13.82,2014
175,BD+63 1405 b,124,3.96 Jupiters,8.96,2021
176,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
177,Beta Pictoris b,64,11.73313 Jupiters,3.85,2008
178,Beta Pictoris c,64,10.14112 Jupiters,3.85,2019
179,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
180,CD Ceti b,28,3.95 Earths,13.95,2020
181,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
182,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
183,CHXR 73 b,621,12.569 Jupiters,,2006
184,CI Tauri b,515,11.6 Jupiters,13.642,2019
185,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
186,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
187,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
188,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
189,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
190,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
191,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
192,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
193,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
194,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
195,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
196,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
197,CoRoT-20 c,2753,17 Jupiters,14.63,2018
198,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
199,CoRoT-22 b,2046,12.2 Earths,13.82,2014
200,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
201,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
202,EPIC 206215704 b,358,0.972 Earths,17.83,2019
203,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
204,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
205,EPIC 211822797 b,607,4.35 Earths,15.133,2016
206,EPIC 211945201 b,593,27 Earths,10.154,2018
207,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
208,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
209,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
210,EPIC 212499991 b,924,3.19 Earths,13.672,2019
211,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
212,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
213,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
214,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
215,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
216,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
217,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
218,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
219,EPIC 220674823 b,798,7.72 Earths,12.101,2016
220,EPIC 220674823 c,798,5.8 Earths,12.101,2016
221,EPIC 228836835 b,490,1.37 Earths,16.77,2021
222,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
223,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
224,EPIC 249893012 b,1048,8.75 Earths,11.429,2020
225,EPIC 249893012 c,1048,14.67 Earths,11.429,2020
226,EPIC 249893012 d,1048,10.18 Earths,11.429,2020
227,Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
228,Epsilon Eridani b,10,0.66 Jupiters,3.71548,2000
229,Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
230,Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
231,FU Tauri b,435,16 Jupiters,,2008
232,G 264-012 b,52,2.5 Earths,13.078,2021
233,G 264-012 c,52,3.75 Earths,13.078,2021
234,G 9-40 b,91,11.7 Earths,13.821,2019
235,Gaia-1 b,1186,1.68 Jupiters,13.242,2022
236,Gaia-2 b,683,0.817 Jupiters,11.277,2022
237,gam1 Leonis b,130,8.78 Jupiters,1.99509,2009
238,Gamma Cephei b,46,9.4 Jupiters,3.23006,2003
239,Gamma Librae b,155,1.02 Jupiters,3.90672,2018
240,Gamma Librae c,155,4.58 Jupiters,3.90672,2018
241,Gamma Piscium b,135,1.34 Jupiters,3.69252,2021
242,GJ 1002 b,16,1.08 Earths,13.76,2022
243,GJ 1002 c,16,1.36 Earths,13.76,2022
244,GJ 1061 b,12,1.37 Earths,12.7,2020
245,GJ 1061 c,12,1.74 Earths,12.7,2020
246,GJ 1061 d,12,1.64 Earths,12.7,2020
247,GJ 1132 b,41,1.66 Earths,13.68,2015
248,GJ 1132 c,41,2.64 Earths,13.68,2018
249,GJ 1148 b,36,0.30425 Jupiters,11.939,2010
